# EASEL=@xsyetopz/easel@0.7.0	THREE=three@0.185.1	entry=src/Three.Core.js
# columns: state	subject	kind	EASEL	THREE
# state: = both; < EASEL-only; > THREE-only; ! same name but different public shape; EASEL limits: CPU/Canvas2D; affine UV; baked flat/Gouraud; no GPU/shader/PBR/shadow/environment-map surface; limits do not describe THREE core
<	AABBShape	class	class	-
<	AABBShape.clone	method	instance () => AABBShape	-
<	AABBShape.constructor	constructor	instance (halfExtents: Vector3 = new Vector3(0.5, 0.5, 0.5)) => AABBShape	-
<	AABBShape.halfExtents	field	instance ro Vector3	-
<	AABBShape.type	field	instance ro "aabb"	-
>	ACESFilmicToneMapping	const	-	const number
>	AddEquation	const	-	const number
>	AddOperation	const	-	const number
>	AdditiveAnimationBlendMode	const	-	const number
>	AdditiveBlending	const	-	const number
<	AffineUVSampler	class	class	-
<	AffineUVSampler.constructor	constructor	instance () => AffineUVSampler	-
<	AffineUVSampler.sample	method	instance (u1: number, v1: number, u2: number, v2: number, t: number) => { u: number; v: number; }	-
>	AgXToneMapping	const	-	const number
>	AlphaFormat	const	-	const number
>	AlwaysCompare	const	-	const number
>	AlwaysDepth	const	-	const number
>	AlwaysStencilFunc	const	-	const number
=	AmbientLight	class	class extends Light	class extends Light
<	AmbientLight.clone	method	instance () => AmbientLight	-
!	AmbientLight.constructor	constructor	instance (color: ColorValue | number = 0xffffff, intensity: number = 1) => AmbientLight	instance (color: (number|Color|string) = 0xffffff, intensity: number = 1) => AmbientLight
>	AmbientLight.isAmbientLight	field	-	instance ro boolean
<	AmbientLight.lightType	field	instance rw number	-
=	AmbientLight.type	field	instance rw string	instance rw string
<	AnalyserNodeLike	record	interface extends AudioNodeLike { fftSize: number; readonly frequencyBinCount: number; smoothingTimeConstant: number; minDecibels: number; maxDecibels: number; getByteFrequencyData: (array: Uint8Array) => void; getByteTimeDomainData: (array: Uint8Array) => void }	-
=	AnimationAction	class	class	class
>	AnimationAction._byClipCacheIndex	field	-	instance rw any
>	AnimationAction._cacheIndex	field	-	instance rw any
>	AnimationAction._clip	field	-	instance rw AnimationClip
>	AnimationAction._effectiveTimeScale	field	-	instance rw number
>	AnimationAction._effectiveWeight	field	-	instance rw number
>	AnimationAction._interpolantSettings	field	-	instance rw { endingStart: number; endingEnd: number; }
>	AnimationAction._interpolants	field	-	instance rw any[]
>	AnimationAction._localRoot	field	-	instance rw any
>	AnimationAction._loopCount	field	-	instance rw number
>	AnimationAction._mixer	field	-	instance rw AnimationMixer
>	AnimationAction._propertyBindings	field	-	instance rw any[]
>	AnimationAction._restoreTimeScale	field	-	instance rw number | null
>	AnimationAction._scheduleFading	method	-	instance (duration: any, weightNow: any, weightThen: any) => this
>	AnimationAction._setEndings	method	-	instance (atStart: any, atEnd: any, pingPong: any) => void
>	AnimationAction._startTime	field	-	instance rw number | null
>	AnimationAction._timeScaleInterpolant	field	-	instance rw any
>	AnimationAction._update	method	-	instance (time: any, deltaTime: any, timeDirection: any, accuIndex: any) => void
>	AnimationAction._updateTime	method	-	instance (deltaTime: any) => any
>	AnimationAction._updateTimeScale	method	-	instance (time: any) => number
>	AnimationAction._updateWeight	method	-	instance (time: any) => number
>	AnimationAction._weightInterpolant	field	-	instance rw any
<	AnimationAction.active	accessor	instance r boolean	-
<	AnimationAction.advance	method	instance (delta: number, timelineTime: number | undefined = void 0) => void	-
!	AnimationAction.blendMode	accessor/field	instance rw AnimationBlendMode	instance rw (NormalAnimationBlendMode|AdditiveAnimationBlendMode)
<	AnimationAction.cancelFade	method	instance () => this	-
<	AnimationAction.cancelWarp	method	instance () => this	-
=	AnimationAction.clampWhenFinished	field	instance rw boolean	instance rw boolean
<	AnimationAction.clip	accessor	instance r AnimationClip	-
!	AnimationAction.constructor	constructor	instance (clip: AnimationClip, localRoot: object | undefined = void 0, lifecycle: AnimationActionLifecycle | undefined = void 0, mixer: Animator | undefined = void 0) => AnimationAction	instance (mixer: AnimationMixer, clip: AnimationClip, localRoot: ?Object3D = null, blendMode: (NormalAnimationBlendMode|AdditiveAnimationBlendMode) = clip.blendMode) => AnimationAction
!	AnimationAction.crossFadeFrom	method	instance (fadeOutAction: AnimationAction, duration: number, warp: boolean = false) => this	instance (fadeOutAction: AnimationAction, duration: number, warp: boolean = false) => AnimationAction
=	AnimationAction.crossFadeTo	method	instance (fadeInAction: AnimationAction, duration: number, warp: boolean = false) => AnimationAction	instance (fadeInAction: AnimationAction, duration: number, warp: boolean = false) => AnimationAction
<	AnimationAction.duration	accessor	instance rw number	-
<	AnimationAction.effectiveTimeScale	accessor	instance rw number	-
<	AnimationAction.effectiveWeight	accessor	instance rw number	-
!	AnimationAction.enabled	accessor/field	instance rw boolean	instance rw boolean
!	AnimationAction.fadeIn	method	instance (duration: number) => this	instance (duration: number) => AnimationAction
!	AnimationAction.fadeOut	method	instance (duration: number) => this	instance (duration: number) => AnimationAction
>	AnimationAction.getClip	method	-	instance () => AnimationClip
>	AnimationAction.getEffectiveTimeScale	method	-	instance () => number
>	AnimationAction.getEffectiveWeight	method	-	instance () => number
>	AnimationAction.getMixer	method	-	instance () => AnimationMixer
>	AnimationAction.getRoot	method	-	instance () => Object3D
!	AnimationAction.halt	method	instance (duration: number) => this	instance (duration: number) => AnimationAction
=	AnimationAction.isRunning	method	instance () => boolean	instance () => boolean
=	AnimationAction.isScheduled	method	instance () => boolean	instance () => boolean
<	AnimationAction.localRoot	accessor	instance r object | undefined	-
!	AnimationAction.loop	field	instance rw LoopMode	instance rw (LoopRepeat|LoopOnce|LoopPingPong)
<	AnimationAction.mixer	accessor	instance r Animator | undefined	-
=	AnimationAction.paused	field	instance rw boolean	instance rw boolean
!	AnimationAction.play	method	instance () => this	instance () => AnimationAction
=	AnimationAction.repetitions	field	instance rw number	instance rw number
!	AnimationAction.reset	method	instance (enable: boolean = true) => this	instance () => AnimationAction
<	AnimationAction.root	accessor	instance r object | undefined	-
<	AnimationAction.running	accessor	instance r boolean	-
<	AnimationAction.schedule	method	instance (time: number) => this	-
<	AnimationAction.scheduled	accessor	instance r boolean	-
>	AnimationAction.setDuration	method	-	instance (duration: number) => AnimationAction
>	AnimationAction.setEffectiveTimeScale	method	-	instance (timeScale: number) => AnimationAction
>	AnimationAction.setEffectiveWeight	method	-	instance (weight: number) => AnimationAction
!	AnimationAction.setLoop	method	instance (mode: LoopMode, repetitions: number) => this	instance (mode: (LoopRepeat|LoopOnce|LoopPingPong), repetitions: number) => AnimationAction
!	AnimationAction.startAt	method	instance (time: number) => this	instance (time: number) => AnimationAction
!	AnimationAction.stop	method	instance () => this	instance () => AnimationAction
!	AnimationAction.stopFading	method	instance () => this	instance () => AnimationAction
!	AnimationAction.stopWarping	method	instance () => this	instance () => AnimationAction
!	AnimationAction.syncWith	method	instance (action: AnimationAction) => this	instance (action: AnimationAction) => AnimationAction
=	AnimationAction.time	field	instance rw number	instance rw number
!	AnimationAction.timeScale	accessor/field	instance rw number	instance rw number
!	AnimationAction.warp	method	instance (startTimeScale: number, endTimeScale: number, duration: number) => this	instance (startTimeScale: number, endTimeScale: number, duration: number) => AnimationAction
!	AnimationAction.weight	accessor/field	instance rw number	instance rw number
=	AnimationAction.zeroSlopeAtEnd	field	instance rw boolean	instance rw boolean
=	AnimationAction.zeroSlopeAtStart	field	instance rw boolean	instance rw boolean
<	AnimationBlend	const	const { readonly Normal: 2500; readonly Additive: 2501; }	-
<	AnimationBlendMode	record	type = (typeof AnimationBlend)[keyof typeof AnimationBlend]	-
=	AnimationClip	class	class	class
>	AnimationClip.CreateClipsFromMorphTargetSequences	method	-	static (morphTargets: Array<Object>, fps: number, noLoop: boolean) => Array<AnimationClip>
>	AnimationClip.CreateFromMorphTargetSequence	method	-	static (name: string, morphTargetSequence: Array<Object>, fps: number, noLoop: boolean) => AnimationClip
!	AnimationClip.blendMode	accessor/field	instance rw AnimationBlendMode	instance rw (NormalAnimationBlendMode|AdditiveAnimationBlendMode)
=	AnimationClip.clone	method	instance () => AnimationClip	instance () => AnimationClip
!	AnimationClip.constructor	constructor	instance (name: string = "", duration: number = -1, tracks: AnimationTrack[] = [], blendMode: AnimationBlendMode = AnimationBlend.Normal) => AnimationClip	instance (name: string = '', duration: number = - 1, tracks: Array<KeyframeTrack> = [], blendMode: (NormalAnimationBlendMode|AdditiveAnimationBlendMode) = NormalAnimationBlendMode) => AnimationClip
!	AnimationClip.duration	accessor/field	instance r number	instance rw number
>	AnimationClip.findByName	method	-	static (objectOrClipArray: (Array<AnimationClip>|Object3D), name: string) => ?AnimationClip
!	AnimationClip.name	accessor/field	instance r string	instance rw string
!	AnimationClip.optimize	method	instance () => this	instance () => AnimationClip
>	AnimationClip.parse	method	-	static (json: Object) => AnimationClip
!	AnimationClip.resetDuration	method	instance () => this	instance () => AnimationClip
!	AnimationClip.toJSON	method	instance () => AnimationClipJSON	instance () => Object
>	AnimationClip.toJSON	method	-	static (clip: AnimationClip) => Object
!	AnimationClip.tracks	accessor/field	instance r AnimationTrack<TrackValue>[]	instance rw Array<KeyframeTrack>
!	AnimationClip.trim	method	instance () => this	instance () => AnimationClip
!	AnimationClip.userData	field	instance rw Record<string, unknown>	instance rw Object
=	AnimationClip.uuid	field	instance ro string	instance ro string
=	AnimationClip.validate	method	instance () => boolean	instance () => boolean
<	AnimationClipJSON	record	interface { readonly name?: string; readonly duration?: number; readonly tracks?: AnimationClipTrackJSON[]; readonly fps?: number; readonly blendMode?: AnimationBlendMode }	-
<	AnimationClipTrackJSON	record	interface { readonly type: | "boolean" | "bool" | "color" | "number" | "quaternion" | "string" | "vector"; readonly name: string; readonly times: number[]; readonly values: Array<boolean | number | string>; readonly itemSize?: number; readonly interpolation?: InterpolationMode; readonly inTangents?: number[]; readonly outTangents?: number[]; readonly endingStart?: InterpolationEndingMode; readonly endingEnd?: InterpolationEndingMode }	-
<	AnimationGroup	class	class	-
<	AnimationGroup.add	method	instance (...roots: object[]) => this	-
<	AnimationGroup.clear	method	instance () => void	-
<	AnimationGroup.constructor	constructor	instance (...roots: object[]) => AnimationGroup	-
<	AnimationGroup.delete	method	instance (...roots: object[]) => boolean	-
<	AnimationGroup.has	method	instance (root: object) => boolean	-
<	AnimationGroup.isAnimationObjectGroup	field	instance ro boolean	-
<	AnimationGroup.remove	method	instance (...objects: object[]) => void	-
<	AnimationGroup.roots	accessor	instance r readonly object[]	-
<	AnimationGroup.size	accessor	instance r number	-
<	AnimationGroup.stats	accessor	instance r { objects: number; }	-
<	AnimationGroup.uncache	method	instance (...objects: object[]) => void	-
<	AnimationGroup.uuid	field	instance ro string	-
=	AnimationLoader	class	class extends Loader	class extends Loader
!	AnimationLoader.constructor	constructor	instance (manager: LoadingManager | undefined = void 0) => AnimationLoader	instance (manager?: LoadingManager) => AnimationLoader
!	AnimationLoader.load	method	instance (url: string, onLoad?: (clips: AnimationClip[]) => void, onProgress?: (event: ProgressEvent) => void, onError?: (err: unknown) => void) => void	instance (url: string, onLoad: function(Array<AnimationClip>), onProgress: onProgressCallback, onError: onErrorCallback) => void
!	AnimationLoader.parse	method	instance (json: AnimationClipJSON[]) => AnimationClip[]	instance (json: Object) => Array<AnimationClip>
>	AnimationMixer	class	-	class extends EventDispatcher
>	AnimationMixer._accuIndex	field	-	instance rw number
>	AnimationMixer._actions	field	-	instance rw any[] | undefined
>	AnimationMixer._actionsByClip	field	-	instance rw {} | undefined
>	AnimationMixer._activateAction	method	-	instance (action: any) => void
>	AnimationMixer._addInactiveAction	method	-	instance (action: any, clipUuid: any, rootUuid: any) => void
>	AnimationMixer._addInactiveBinding	method	-	instance (binding: any, rootUuid: any, trackName: any) => void
>	AnimationMixer._bindAction	method	-	instance (action: any, prototypeAction: any) => void
>	AnimationMixer._bindings	field	-	instance rw any[] | undefined
>	AnimationMixer._bindingsByRootAndName	field	-	instance rw {} | undefined
>	AnimationMixer._controlInterpolants	field	-	instance rw any[] | undefined
>	AnimationMixer._deactivateAction	method	-	instance (action: any) => void
>	AnimationMixer._initMemoryManager	method	-	instance () => void
>	AnimationMixer._isActiveAction	method	-	instance (action: any) => boolean
>	AnimationMixer._lendAction	method	-	instance (action: any) => void
>	AnimationMixer._lendBinding	method	-	instance (binding: any) => void
>	AnimationMixer._lendControlInterpolant	method	-	instance () => any
>	AnimationMixer._nActiveActions	field	-	instance rw number | undefined
>	AnimationMixer._nActiveBindings	field	-	instance rw number | undefined
>	AnimationMixer._nActiveControlInterpolants	field	-	instance rw number | undefined
>	AnimationMixer._removeInactiveAction	method	-	instance (action: any) => void
>	AnimationMixer._removeInactiveBinding	method	-	instance (binding: any) => void
>	AnimationMixer._removeInactiveBindingsForAction	method	-	instance (action: any) => void
>	AnimationMixer._root	field	-	instance rw Object3D
>	AnimationMixer._takeBackAction	method	-	instance (action: any) => void
>	AnimationMixer._takeBackBinding	method	-	instance (binding: any) => void
>	AnimationMixer._takeBackControlInterpolant	method	-	instance (interpolant: any) => void
>	AnimationMixer.clipAction	method	-	instance (clip: AnimationClip|string, optionalRoot?: Object3D, blendMode?: (NormalAnimationBlendMode|AdditiveAnimationBlendMode)) => ?AnimationAction
>	AnimationMixer.constructor	constructor	-	instance (root: Object3D) => AnimationMixer
>	AnimationMixer.existingAction	method	-	instance (clip: AnimationClip|string, optionalRoot?: Object3D) => ?AnimationAction
>	AnimationMixer.getRoot	method	-	instance () => Object3D
>	AnimationMixer.setTime	method	-	instance (time: number) => AnimationMixer
>	AnimationMixer.stats	field	-	instance rw { actions: { readonly total: number; readonly inUse: number | undefined; }; bindings: { readonly total: number; readonly inUse: number | undefined; }; controlInterpolants: { readonly total: number; readonly inUse: number | undefined; }; } | undefined
>	AnimationMixer.stopAllAction	method	-	instance () => AnimationMixer
>	AnimationMixer.time	field	-	instance rw number
>	AnimationMixer.timeScale	field	-	instance rw number
>	AnimationMixer.uncacheAction	method	-	instance (clip: AnimationClip|string, optionalRoot?: Object3D) => void
>	AnimationMixer.uncacheClip	method	-	instance (clip: AnimationClip) => void
